127.0.0.1 -- [2021-11-14 15:18:53,269]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:23:22,916]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:23:49,741]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:23:49,898]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:23:50,202]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:23:50,416]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:23:50,613]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:23:50,645]:  "GET /index.html HTTP/1.1" 304 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:23:50,689]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:25:46,578]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:25:46,579]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:42:47,307]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:42:47,448]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:42:47,761]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:42:47,973]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:42:48,142]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:42:48,149]:  "GET /index.html HTTP/1.1" 304 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:42:48,236]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:44:43,955]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 15:44:43,956]:  " 408 258 "Apache/2.4.41 (Ubuntu)"

